what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962548743
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1594962650545
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594962655882
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594962659361
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594962667377
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594962669666
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1594962677292
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1594962679423
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1594962684429
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1594962759311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962779133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962797564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962799502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962809488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594962812769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594968780464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594968787407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594968793919
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1594968825722
error,log,,,"Unhandled event loop exception",1594968848966
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1594968850868
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1594968850883
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1594968850937
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1594968850968
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1594968851052
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1594968851137
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1594968851168
